Datetime,Active Addresses
2025-06-10T00:00:00Z,1020485
2025-06-09T00:00:00Z,893460
2025-06-08T00:00:00Z,779831
2025-06-07T00:00:00Z,787698
2025-06-06T00:00:00Z,859500
2025-06-05T00:00:00Z,866463
2025-06-04T00:00:00Z,863634
2025-06-03T00:00:00Z,1019819
2025-06-02T00:00:00Z,923053
2025-06-01T00:00:00Z,827916
2025-05-31T00:00:00Z,839988
2025-05-30T00:00:00Z,1010560
2025-05-29T00:00:00Z,949203
2025-05-28T00:00:00Z,1088447
2025-05-27T00:00:00Z,914906
2025-05-26T00:00:00Z,962746
2025-05-25T00:00:00Z,875289
2025-05-24T00:00:00Z,897126
2025-05-23T00:00:00Z,1049732
2025-05-22T00:00:00Z,1100527
2025-05-21T00:00:00Z,1070843
2025-05-20T00:00:00Z,914048
2025-05-19T00:00:00Z,882832
2025-05-18T00:00:00Z,943792
2025-05-17T00:00:00Z,910699
2025-05-16T00:00:00Z,1033195
2025-05-15T00:00:00Z,959746
2025-05-14T00:00:00Z,996549
2025-05-13T00:00:00Z,975749
2025-05-12T00:00:00Z,930377
2025-05-11T00:00:00Z,966443
2025-05-10T00:00:00Z,1139439
2025-05-09T00:00:00Z,1091807
2025-05-08T00:00:00Z,1123834
2025-05-07T00:00:00Z,1159368
2025-05-06T00:00:00Z,909676
2025-05-05T00:00:00Z,1000264
2025-05-04T00:00:00Z,795057
2025-05-03T00:00:00Z,958743
2025-05-02T00:00:00Z,1113820
2025-05-01T00:00:00Z,960293
2025-04-30T00:00:00Z,926397
2025-04-29T00:00:00Z,992076
2025-04-28T00:00:00Z,1016940
2025-04-27T00:00:00Z,889936
2025-04-26T00:00:00Z,845795
2025-04-25T00:00:00Z,1003481
2025-04-24T00:00:00Z,1013108
2025-04-23T00:00:00Z,877695
2025-04-22T00:00:00Z,1096758
2025-04-21T00:00:00Z,907339
2025-04-20T00:00:00Z,844001
2025-04-19T00:00:00Z,838836
2025-04-18T00:00:00Z,933105
2025-04-17T00:00:00Z,1080565
2025-04-16T00:00:00Z,915144
2025-04-15T00:00:00Z,924542
2025-04-14T00:00:00Z,959211
2025-04-13T00:00:00Z,916359
2025-04-12T00:00:00Z,869439
2025-04-11T00:00:00Z,941616
2025-04-10T00:00:00Z,861029
2025-04-09T00:00:00Z,884812
2025-04-08T00:00:00Z,903421
2025-04-07T00:00:00Z,870355
2025-04-06T00:00:00Z,770588
2025-04-05T00:00:00Z,809254
2025-04-04T00:00:00Z,994546
2025-04-03T00:00:00Z,990235
2025-04-02T00:00:00Z,983541
2025-04-01T00:00:00Z,1023066
2025-03-31T00:00:00Z,965070
2025-03-30T00:00:00Z,808078
2025-03-29T00:00:00Z,982218
2025-03-28T00:00:00Z,1040116
2025-03-27T00:00:00Z,1036242
2025-03-26T00:00:00Z,1039006
2025-03-25T00:00:00Z,912093
2025-03-24T00:00:00Z,1047599
2025-03-23T00:00:00Z,975243
2025-03-22T00:00:00Z,932051
2025-03-21T00:00:00Z,904164
2025-03-20T00:00:00Z,936960
2025-03-19T00:00:00Z,995507
2025-03-18T00:00:00Z,986376
2025-03-17T00:00:00Z,951207
2025-03-16T00:00:00Z,996158
2025-03-15T00:00:00Z,944851
2025-03-14T00:00:00Z,1012722
2025-03-13T00:00:00Z,1093632
2025-03-12T00:00:00Z,994861
2025-03-11T00:00:00Z,980262
2025-03-10T00:00:00Z,1045900
2025-03-09T00:00:00Z,890262
2025-03-08T00:00:00Z,809330
2025-03-07T00:00:00Z,984904
2025-03-06T00:00:00Z,1081143
2025-03-05T00:00:00Z,864877
2025-03-04T00:00:00Z,855894
2025-03-03T00:00:00Z,985932
2025-03-02T00:00:00Z,976663
2025-03-01T00:00:00Z,976759
2025-02-28T00:00:00Z,1217056
2025-02-27T00:00:00Z,968751
2025-02-26T00:00:00Z,995211
2025-02-25T00:00:00Z,1069978
2025-02-24T00:00:00Z,1003051
2025-02-23T00:00:00Z,929214
2025-02-22T00:00:00Z,998913
2025-02-21T00:00:00Z,964255
2025-02-20T00:00:00Z,958455
2025-02-19T00:00:00Z,954360
2025-02-18T00:00:00Z,1019349
2025-02-17T00:00:00Z,889370
2025-02-16T00:00:00Z,778724
2025-02-15T00:00:00Z,792462
2025-02-14T00:00:00Z,901371
2025-02-13T00:00:00Z,967171
2025-02-12T00:00:00Z,946750
2025-02-11T00:00:00Z,952232
2025-02-10T00:00:00Z,979120
2025-02-09T00:00:00Z,890732
2025-02-08T00:00:00Z,971944
2025-02-07T00:00:00Z,1073850
2025-02-06T00:00:00Z,1015757
2025-02-05T00:00:00Z,967038
2025-02-04T00:00:00Z,905783
2025-02-03T00:00:00Z,1036123
2025-02-02T00:00:00Z,1012472
2025-02-01T00:00:00Z,979203
2025-01-31T00:00:00Z,870247
2025-01-30T00:00:00Z,931153
2025-01-29T00:00:00Z,936002
2025-01-28T00:00:00Z,826104
2025-01-27T00:00:00Z,970853
2025-01-26T00:00:00Z,838567
2025-01-25T00:00:00Z,858828
2025-01-24T00:00:00Z,958925
2025-01-23T00:00:00Z,936981
2025-01-22T00:00:00Z,1068089
2025-01-21T00:00:00Z,948937
2025-01-20T00:00:00Z,954757
2025-01-19T00:00:00Z,1044750
2025-01-18T00:00:00Z,902806
2025-01-17T00:00:00Z,1097441
2025-01-16T00:00:00Z,964011
2025-01-15T00:00:00Z,961892
2025-01-14T00:00:00Z,1045390
2025-01-13T00:00:00Z,958127
2025-01-12T00:00:00Z,968549
2025-01-11T00:00:00Z,915406
2025-01-10T00:00:00Z,1023618
2025-01-09T00:00:00Z,1088725
2025-01-08T00:00:00Z,947850
2025-01-07T00:00:00Z,955682
2025-01-06T00:00:00Z,958957
2025-01-05T00:00:00Z,959360
2025-01-04T00:00:00Z,936769
2025-01-03T00:00:00Z,996231
2025-01-02T00:00:00Z,1081402
2025-01-01T00:00:00Z,827036
2024-12-31T00:00:00Z,896056
2024-12-30T00:00:00Z,976218
2024-12-29T00:00:00Z,936994
2024-12-28T00:00:00Z,828964
2024-12-27T00:00:00Z,1022848
2024-12-26T00:00:00Z,856161
2024-12-25T00:00:00Z,899671
2024-12-24T00:00:00Z,870300
2024-12-23T00:00:00Z,871287
2024-12-22T00:00:00Z,936862
2024-12-21T00:00:00Z,867713
2024-12-20T00:00:00Z,1031633
2024-12-19T00:00:00Z,1057822
2024-12-18T00:00:00Z,1083923
2024-12-17T00:00:00Z,1023794
2024-12-16T00:00:00Z,1080512
2024-12-15T00:00:00Z,926036
2024-12-14T00:00:00Z,1046146
2024-12-13T00:00:00Z,1212989
2024-12-12T00:00:00Z,1080291
2024-12-11T00:00:00Z,1032262
2024-12-10T00:00:00Z,1136142
2024-12-09T00:00:00Z,1087840
2024-12-08T00:00:00Z,1089100
2024-12-07T00:00:00Z,999248
2024-12-06T00:00:00Z,1042221
2024-12-05T00:00:00Z,1174057
2024-12-04T00:00:00Z,1105871
2024-12-03T00:00:00Z,1101954
2024-12-02T00:00:00Z,988487
