Datetime,Exchange Reserve
2025-06-10T00:00:00Z,2503819.58751175
2025-06-09T00:00:00Z,2502490.21484381
2025-06-08T00:00:00Z,2505617.84839674
2025-06-07T00:00:00Z,2505246.98496915
2025-06-06T00:00:00Z,2507172.68349712
2025-06-05T00:00:00Z,2513401.67616091
2025-06-04T00:00:00Z,2512951.4811953
2025-06-03T00:00:00Z,2525764.91414756
2025-06-02T00:00:00Z,2548195.21810559
2025-06-01T00:00:00Z,2571262.8333614
2025-05-31T00:00:00Z,2574001.17026407
2025-05-30T00:00:00Z,2576733.38311276
2025-05-29T00:00:00Z,2577309.52989255
2025-05-28T00:00:00Z,2588200.93746143
2025-05-27T00:00:00Z,2590807.92056674
2025-05-26T00:00:00Z,2594162.97773222
2025-05-25T00:00:00Z,2605114.31433504
2025-05-24T00:00:00Z,2606634.64791338
2025-05-23T00:00:00Z,2609506.59948978
2025-05-22T00:00:00Z,2610207.24479123
2025-05-21T00:00:00Z,2605452.27883767
2025-05-20T00:00:00Z,2611451.33933835
2025-05-19T00:00:00Z,2617310.38115182
2025-05-18T00:00:00Z,2626151.21266394
2025-05-17T00:00:00Z,2624676.79744218
2025-05-16T00:00:00Z,2625027.66852332
2025-05-15T00:00:00Z,2627341.43594501
2025-05-14T00:00:00Z,2636153.36339352
2025-05-13T00:00:00Z,2636327.11904382
2025-05-12T00:00:00Z,2646413.10146167
2025-05-11T00:00:00Z,2648247.31808875
2025-05-10T00:00:00Z,2647437.36341611
2025-05-09T00:00:00Z,2647316.60435236
2025-05-08T00:00:00Z,2651749.67005495
2025-05-07T00:00:00Z,2651601.41056325
2025-05-06T00:00:00Z,2651947.66307419
2025-05-05T00:00:00Z,2660075.98205489
2025-05-04T00:00:00Z,2666823.84063409
2025-05-03T00:00:00Z,2666283.53395532
2025-05-02T00:00:00Z,2665078.55383667
2025-05-01T00:00:00Z,2670487.63644591
2025-04-30T00:00:00Z,2673835.83465315
2025-04-29T00:00:00Z,2671597.92995023
2025-04-28T00:00:00Z,2680662.09417669
2025-04-27T00:00:00Z,2682610.61975227
2025-04-26T00:00:00Z,2681018.17502153
2025-04-25T00:00:00Z,2679384.41858716
2025-04-24T00:00:00Z,2689585.50298657
2025-04-23T00:00:00Z,2704119.53632582
2025-04-22T00:00:00Z,2707760.0518584
2025-04-21T00:00:00Z,2716637.33108107
2025-04-20T00:00:00Z,2722094.29895024
2025-04-19T00:00:00Z,2722161.8257638
2025-04-18T00:00:00Z,2722143.73823105
2025-04-17T00:00:00Z,2720743.14282152
2025-04-16T00:00:00Z,2723747.81403227
2025-04-15T00:00:00Z,2727302.4977981
2025-04-14T00:00:00Z,2732050.36310162
2025-04-13T00:00:00Z,2738941.8850021
2025-04-12T00:00:00Z,2737985.53346738
2025-04-11T00:00:00Z,2737001.87409874
2025-04-10T00:00:00Z,2740061.49265873
2025-04-09T00:00:00Z,2738750.68937941
2025-04-08T00:00:00Z,2741271.09927745
2025-04-07T00:00:00Z,2735075.40375905
2025-04-06T00:00:00Z,2741432.33733951
2025-04-05T00:00:00Z,2740507.73669902
2025-04-04T00:00:00Z,2737320.5526172
2025-04-03T00:00:00Z,2736417.10195469
2025-04-02T00:00:00Z,2745920.31929325
2025-04-01T00:00:00Z,2749225.28040985
2025-03-31T00:00:00Z,2752072.07743461
2025-03-30T00:00:00Z,2746322.89938825
2025-03-29T00:00:00Z,2741368.65963378
2025-03-28T00:00:00Z,2742868.00874305
2025-03-27T00:00:00Z,2747765.10265461
2025-03-26T00:00:00Z,2750106.69315808
2025-03-25T00:00:00Z,2749309.07275224
2025-03-24T00:00:00Z,2753103.0723342
2025-03-23T00:00:00Z,2763980.16277456
2025-03-22T00:00:00Z,2764758.18806658
2025-03-21T00:00:00Z,2764748.77049691
2025-03-20T00:00:00Z,2764429.69535967
2025-03-19T00:00:00Z,2765061.2514732
2025-03-18T00:00:00Z,2770060.36212375
2025-03-17T00:00:00Z,2769171.78364325
2025-03-16T00:00:00Z,2769368.53332634
2025-03-15T00:00:00Z,2768063.59442247
2025-03-14T00:00:00Z,2769971.98541125
2025-03-13T00:00:00Z,2771100.75741877
2025-03-12T00:00:00Z,2778882.18523684
2025-03-11T00:00:00Z,2800446.87117461
