Dates,XBTUSD Curncy
6/23/2025,102390.51
6/20/2025,103721.91
6/19/2025,104297.01
6/18/2025,104836.11
6/17/2025,104392.11
6/16/2025,108833.22
6/13/2025,105472.51
6/12/2025,106012.81
6/11/2025,108933.11
6/10/2025,109979.61
6/9/2025,108770.01
6/6/2025,104574.41
6/5/2025,100503.81
6/4/2025,104668.31
6/3/2025,105810.72
6/2/2025,104931.91
5/30/2025,104597.81
5/29/2025,106179.22
5/28/2025,107335.72
5/27/2025,109615.91
5/26/2025,109619.22
5/23/2025,108261.31
5/22/2025,111092.22
5/21/2025,108282.41
5/20/2025,106953.22
5/19/2025,105485.91
5/16/2025,103712.31
5/15/2025,103463.61
5/14/2025,103573.61
5/13/2025,104599.51
5/12/2025,102693.31
5/9/2025,103195.81
5/8/2025,102616.61
5/7/2025,96794.09
5/6/2025,94701.79
5/5/2025,94240.37
5/2/2025,97063.65
5/1/2025,96463.2
4/30/2025,94581.18
4/29/2025,94873.95
4/28/2025,94506.03
4/25/2025,94966.87
4/24/2025,93454.23
4/23/2025,93686.03
4/22/2025,91177.46
4/21/2025,87354.6
4/18/2025,84501.93
4/17/2025,85139.14
4/16/2025,84308.09
4/15/2025,84016.48
4/14/2025,84848.06
4/11/2025,83820.6
4/10/2025,79879.18
4/9/2025,83173.76
4/8/2025,77052.89
4/7/2025,78923.14
4/4/2025,84129.73
4/3/2025,82315.85
4/2/2025,85653.54
4/1/2025,85243.64
3/31/2025,82421.29
3/28/2025,83758.98
3/27/2025,87309.14
3/26/2025,87286.31
3/25/2025,87897.82
3/24/2025,87879.82
3/21/2025,84183.37
3/20/2025,84504.07
3/19/2025,85377.85
3/18/2025,82031.45
3/17/2025,83958.01
3/14/2025,84154.04
3/13/2025,80323.17
3/12/2025,83107.01
3/11/2025,82785.57
3/10/2025,79272.09
3/7/2025,86282.15
3/6/2025,89842.68
3/5/2025,90375.01
3/4/2025,87499.37
3/3/2025,85314.51
2/28/2025,84212.07
2/27/2025,84285.18
2/26/2025,84470.18
2/25/2025,88701.92
2/24/2025,93957.79
