Dates,FDTR Index,USGG10YR Index
6/23/2025,4.5,4.3121
6/20/2025,4.5,4.3751
6/19/2025,4.5,4.3909
6/18/2025,4.5,4.3909
6/17/2025,4.5,4.3888
6/16/2025,4.5,4.4462
6/13/2025,4.5,4.3987
6/12/2025,4.5,4.3592
6/11/2025,4.5,4.4203
6/10/2025,4.5,4.4698
6/9/2025,4.5,4.4738
6/6/2025,4.5,4.5056
6/5/2025,4.5,4.3906
6/4/2025,4.5,4.3552
6/3/2025,4.5,4.4537
6/2/2025,4.5,4.4399
5/30/2025,4.5,4.4004
5/29/2025,4.5,4.418
5/28/2025,4.5,4.4773
5/27/2025,4.5,4.4436
5/26/2025,4.5,4.511
5/23/2025,4.5,4.511
5/22/2025,4.5,4.5287
5/21/2025,4.5,4.5985
5/20/2025,4.5,4.4869
5/19/2025,4.5,4.4474
5/16/2025,4.5,4.477
5/15/2025,4.5,4.4315
5/14/2025,4.5,4.5363
5/13/2025,4.5,4.465
5/12/2025,4.5,4.4709
5/9/2025,4.5,4.3785
5/8/2025,4.5,4.3785
5/7/2025,4.5,4.2694
5/6/2025,4.5,4.2946
5/5/2025,4.5,4.3433
5/2/2025,4.5,4.3083
5/1/2025,4.5,4.2176
4/30/2025,4.5,4.1619
4/29/2025,4.5,4.1716
4/28/2025,4.5,4.2082
4/25/2025,4.5,4.2353
4/24/2025,4.5,4.3149
4/23/2025,4.5,4.3812
4/22/2025,4.5,4.4008
4/21/2025,4.5,4.4106
4/18/2025,4.5,4.3249
4/17/2025,4.5,4.3249
4/16/2025,4.5,4.2768
4/15/2025,4.5,4.333
4/14/2025,4.5,4.3739
4/11/2025,4.5,4.4895
4/10/2025,4.5,4.4249
4/9/2025,4.5,4.3315
4/8/2025,4.5,4.2929
4/7/2025,4.5,4.1835
4/4/2025,4.5,3.9943
4/3/2025,4.5,4.0286
4/2/2025,4.5,4.1307
4/1/2025,4.5,4.1689
3/31/2025,4.5,4.2053
3/28/2025,4.5,4.2494
3/27/2025,4.5,4.3595
3/26/2025,4.5,4.3519
3/25/2025,4.5,4.3133
3/24/2025,4.5,4.3346
3/21/2025,4.5,4.2462
3/20/2025,4.5,4.2369
3/19/2025,4.5,4.2428
3/18/2025,4.5,4.2831
3/17/2025,4.5,4.2985
3/14/2025,4.5,4.3121
3/13/2025,4.5,4.2682
3/12/2025,4.5,4.3124
3/11/2025,4.5,4.2799
3/10/2025,4.5,4.2131
3/7/2025,4.5,4.3011
3/6/2025,4.5,4.2784
3/5/2025,4.5,4.2785
3/4/2025,4.5,4.2442
3/3/2025,4.5,4.1551
2/28/2025,4.5,4.2082
2/27/2025,4.5,4.2599
2/26/2025,4.5,4.2562
2/25/2025,4.5,4.2945
2/24/2025,4.5,4.4003
2/21/2025,4.5,4.4313
2/20/2025,4.5,4.5053
2/19/2025,4.5,4.5327
2/18/2025,4.5,4.5503
2/17/2025,4.5,4.4762
2/14/2025,4.5,4.4762
2/13/2025,4.5,4.5288
2/12/2025,4.5,4.6208
2/11/2025,4.5,4.5352
2/10/2025,4.5,4.4968
2/7/2025,4.5,4.4947
2/6/2025,4.5,4.4342
2/5/2025,4.5,4.4181
2/4/2025,4.5,4.5105
2/3/2025,4.5,4.555
1/31/2025,4.5,4.5387
1/30/2025,4.5,4.5163
1/29/2025,4.5,4.5284
1/28/2025,4.5,4.5323
1/27/2025,4.5,4.5343
1/24/2025,4.5,4.6214
1/23/2025,4.5,4.6436
1/22/2025,4.5,4.6109
1/21/2025,4.5,4.5764
1/20/2025,4.5,4.627
1/17/2025,4.5,4.627
1/16/2025,4.5,4.6125
1/15/2025,4.5,4.6531
1/14/2025,4.5,4.7924
1/13/2025,4.5,4.7779
1/10/2025,4.5,4.7592
1/9/2025,4.5,4.6893
1/8/2025,4.5,4.6892
1/7/2025,4.5,4.685
1/6/2025,4.5,4.63
1/3/2025,4.5,4.5975
1/2/2025,4.5,4.559
1/1/2025,4.5,4.569
12/31/2024,4.5,4.569
12/30/2024,4.5,4.5327
12/27/2024,4.5,4.6253
12/26/2024,4.5,4.5827
12/25/2024,4.5,4.5887
12/24/2024,4.5,4.5887
12/23/2024,4.5,4.5865
12/20/2024,4.5,4.5222
12/19/2024,4.5,4.5621
12/18/2024,4.5,4.514
12/17/2024,4.75,4.3987
12/16/2024,4.75,4.3967
12/13/2024,4.75,4.3967
12/12/2024,4.75,4.3278
12/11/2024,4.75,4.2711
12/10/2024,4.75,4.2263
12/9/2024,4.75,4.2012
12/6/2024,4.75,4.1529
12/5/2024,4.75,4.1761
12/4/2024,4.75,4.18
12/3/2024,4.75,4.2245
12/2/2024,4.75,4.1897
11/29/2024,4.75,4.1685
11/28/2024,4.75,4.2634
11/27/2024,4.75,4.2634
11/26/2024,4.75,4.3062
11/25/2024,4.75,4.2731
11/22/2024,4.75,4.4002
11/21/2024,4.75,4.4218
11/20/2024,4.75,4.41
11/19/2024,4.75,4.3962
11/18/2024,4.75,4.4138
11/15/2024,4.75,4.4394
11/14/2024,4.75,4.4354
11/13/2024,4.75,4.4512
11/12/2024,4.75,4.4275
11/11/2024,4.75,4.3043
11/8/2024,4.75,4.3043
11/7/2024,4.75,4.3257
11/6/2024,5,4.4315
11/5/2024,5,4.2708
11/4/2024,5,4.2847
11/1/2024,5,4.3836
10/31/2024,5,4.2844
10/30/2024,5,4.3004
10/29/2024,5,4.2541
10/28/2024,5,4.2821
10/25/2024,5,4.2399
10/24/2024,5,4.2118
10/23/2024,5,4.2456
10/22/2024,5,4.2076
10/21/2024,5,4.1956
10/18/2024,5,4.0828
10/17/2024,5,4.0906
10/16/2024,5,4.0122
10/15/2024,5,4.0317
10/14/2024,5,4.1003
10/11/2024,5,4.1003
10/10/2024,5,4.0608
10/9/2024,5,4.0726
10/8/2024,5,4.0119
10/7/2024,5,4.0256
10/4/2024,5,3.9672
10/3/2024,5,3.8458
10/2/2024,5,3.7809
10/1/2024,5,3.7315
9/30/2024,5,3.7809
9/27/2024,5,3.7506
9/26/2024,5,3.7963
9/25/2024,5,3.7849
9/24/2024,5,3.728
9/23/2024,5,3.7489
9/20/2024,5,3.7413
9/19/2024,5,3.7131
9/18/2024,5,3.7038
9/17/2024,5.5,3.6456
9/16/2024,5.5,3.6176
9/13/2024,5.5,3.6513
9/12/2024,5.5,3.674
9/11/2024,5.5,3.6534
9/10/2024,5.5,3.6423
9/9/2024,5.5,3.7004
9/6/2024,5.5,3.708
9/5/2024,5.5,3.7269
9/4/2024,5.5,3.7552
9/3/2024,5.5,3.831
9/2/2024,5.5,3.9034
8/30/2024,5.5,3.9034
8/29/2024,5.5,3.8615
8/28/2024,5.5,3.8349
8/27/2024,5.5,3.8216
8/26/2024,5.5,3.816
8/23/2024,5.5,3.799
8/22/2024,5.5,3.8521
8/21/2024,5.5,3.801
8/20/2024,5.5,3.8067
8/19/2024,5.5,3.8711
8/16/2024,5.5,3.8826
8/15/2024,5.5,3.9131
8/14/2024,5.5,3.8352
8/13/2024,5.5,3.8428
8/12/2024,5.5,3.9035
8/9/2024,5.5,3.9398
8/8/2024,5.5,3.9877
8/7/2024,5.5,3.9431
8/6/2024,5.5,3.8919
8/5/2024,5.5,3.7884
8/2/2024,5.5,3.7904
8/1/2024,5.5,3.976
7/31/2024,5.5,4.0296
7/30/2024,5.5,4.1394
7/29/2024,5.5,4.1744
7/26/2024,5.5,4.1939
7/25/2024,5.5,4.2407
7/24/2024,5.5,4.2838
7/23/2024,5.5,4.2506
7/22/2024,5.5,4.2525
7/19/2024,5.5,4.2389
7/18/2024,5.5,4.2021
7/17/2024,5.5,4.1576
7/16/2024,5.5,4.1576
7/15/2024,5.5,4.2294
7/12/2024,5.5,4.1829
7/11/2024,5.5,4.2101
7/10/2024,5.5,4.2841
7/9/2024,5.5,4.2959
7/8/2024,5.5,4.2783
7/5/2024,5.5,4.2784
7/4/2024,5.5,4.3587
7/3/2024,5.5,4.3587
7/2/2024,5.5,4.4316
7/1/2024,5.5,4.4613
6/28/2024,5.5,4.3961
6/27/2024,5.5,4.2864
6/26/2024,5.5,4.3294
6/25/2024,5.5,4.2476
6/24/2024,5.5,4.2321
6/21/2024,5.5,4.2554
6/20/2024,5.5,4.2594
6/19/2024,5.5,4.2227
6/18/2024,5.5,4.2227
6/17/2024,5.5,4.2809
6/14/2024,5.5,4.2209
6/13/2024,5.5,4.2442
6/12/2024,5.5,4.316
6/11/2024,5.5,4.404
6/10/2024,5.5,4.467
6/7/2024,5.5,4.4335
6/6/2024,5.5,4.287
6/5/2024,5.5,4.2755
6/4/2024,5.5,4.3259
6/3/2024,5.5,4.3884
5/31/2024,5.5,4.4985
5/30/2024,5.5,4.546
5/29/2024,5.5,4.6117
5/28/2024,5.5,4.55
5/27/2024,5.5,4.465
5/24/2024,5.5,4.465
5/23/2024,5.5,4.4767
5/22/2024,5.5,4.4218
5/21/2024,5.5,4.412
5/20/2024,5.5,4.4433
5/17/2024,5.5,4.4198
5/16/2024,5.5,4.375
5/15/2024,5.5,4.34
5/14/2024,5.5,4.4394
5/13/2024,5.5,4.4865
5/10/2024,5.5,4.4963
5/9/2024,5.5,4.4531
5/8/2024,5.5,4.4937
5/7/2024,5.5,4.457
5/6/2024,5.5,4.4874
5/3/2024,5.5,4.5077
5/2/2024,5.5,4.5811
5/1/2024,5.5,4.6283
4/30/2024,5.5,4.6798
4/29/2024,5.5,4.6136
4/26/2024,5.5,4.663
4/25/2024,5.5,4.7039
4/24/2024,5.5,4.6417
4/23/2024,5.5,4.6004
4/22/2024,5.5,4.6085
4/19/2024,5.5,4.6207
4/18/2024,5.5,4.6326
4/17/2024,5.5,4.5873
4/16/2024,5.5,4.6674
4/15/2024,5.5,4.6014
4/12/2024,5.5,4.5216
4/11/2024,5.5,4.5865
4/10/2024,5.5,4.5435
4/9/2024,5.5,4.3616
4/8/2024,5.5,4.4198
4/5/2024,5.5,4.4016
4/4/2024,5.5,4.3094
4/3/2024,5.5,4.3472
4/2/2024,5.5,4.3491
4/1/2024,5.5,4.3092
3/29/2024,5.5,4.2003
3/28/2024,5.5,4.2003
3/27/2024,5.5,4.1903
3/26/2024,5.5,4.2316
3/25/2024,5.5,4.2454
3/22/2024,5.5,4.1981
3/21/2024,5.5,4.2669
3/20/2024,5.5,4.2728
3/19/2024,5.5,4.2925
3/18/2024,5.5,4.3242
3/15/2024,5.5,4.3063
3/14/2024,5.5,4.2903
3/13/2024,5.5,4.1899
3/12/2024,5.5,4.1507
3/11/2024,5.5,4.0982
3/8/2024,5.5,4.0749
3/7/2024,5.5,4.0827
3/6/2024,5.5,4.102
3/5/2024,5.5,4.1525
3/4/2024,5.5,4.2131
3/1/2024,5.5,4.1798
2/29/2024,5.5,4.2502
2/28/2024,5.5,4.2639
2/27/2024,5.5,4.3032
2/26/2024,5.5,4.2795
2/23/2024,5.5,4.248
2/22/2024,5.5,4.3207
2/21/2024,5.5,4.3187
2/20/2024,5.5,4.2753
2/19/2024,5.5,4.2792
2/16/2024,5.5,4.2792
2/15/2024,5.5,4.23
2/14/2024,5.5,4.2554
2/13/2024,5.5,4.3143
2/12/2024,5.5,4.1793
2/9/2024,5.5,4.1754
2/8/2024,5.5,4.154
2/7/2024,5.5,4.1211
2/6/2024,5.5,4.1
2/5/2024,5.5,4.1579
2/2/2024,5.5,4.0199
2/1/2024,5.5,3.8802
1/31/2024,5.5,3.9124
1/30/2024,5.5,4.0319
1/29/2024,5.5,4.074
1/26/2024,5.5,4.1373
1/25/2024,5.5,4.1184
1/24/2024,5.5,4.1762
1/23/2024,5.5,4.1282
1/22/2024,5.5,4.1052
1/19/2024,5.5,4.1226
1/18/2024,5.5,4.142
1/17/2024,5.5,4.1019
1/16/2024,5.5,4.0581
1/15/2024,5.5,3.939
1/12/2024,5.5,3.939
1/11/2024,5.5,3.9658
1/10/2024,5.5,4.0283
1/9/2024,5.5,4.0133
1/8/2024,5.5,4.0305
1/5/2024,5.5,4.0457
1/4/2024,5.5,3.9988
1/3/2024,5.5,3.9162
1/2/2024,5.5,3.9294
1/1/2024,5.5,3.8791
12/29/2023,5.5,3.8791
12/28/2023,5.5,3.8443
12/27/2023,5.5,3.7944
12/26/2023,5.5,3.8967
12/25/2023,5.5,3.895
12/22/2023,5.5,3.895
12/21/2023,5.5,3.8881
12/20/2023,5.5,3.8474
12/19/2023,5.5,3.9313
12/18/2023,5.5,3.9314
12/15/2023,5.5,3.911
12/14/2023,5.5,3.9208
12/13/2023,5.5,4.0164
12/12/2023,5.5,4.2006
12/11/2023,5.5,4.2333
12/8/2023,5.5,4.2256
12/7/2023,5.5,4.1495
12/6/2023,5.5,4.104
12/5/2023,5.5,4.1649
12/4/2023,5.5,4.2529
12/1/2023,5.5,4.1956
11/30/2023,5.5,4.3264
11/29/2023,5.5,4.2552
11/28/2023,5.5,4.3207
11/27/2023,5.5,4.3866
11/24/2023,5.5,4.4665
11/23/2023,5.5,4.4042
11/22/2023,5.5,4.4042
11/21/2023,5.5,4.3926
11/20/2023,5.5,4.4198
11/17/2023,5.5,4.4354
11/16/2023,5.5,4.4355
11/15/2023,5.5,4.5314
11/14/2023,5.5,4.4473
11/13/2023,5.5,4.6399
11/10/2023,5.5,4.6518
11/9/2023,5.5,4.6241
11/8/2023,5.5,4.4925
11/7/2023,5.5,4.5665
11/6/2023,5.5,4.6431
11/3/2023,5.5,4.5724
11/2/2023,5.5,4.659
11/1/2023,5.5,4.7341
10/31/2023,5.5,4.9307
10/30/2023,5.5,4.8942
10/27/2023,5.5,4.8346
10/26/2023,5.5,4.8445
10/25/2023,5.5,4.9549
10/24/2023,5.5,4.8229
10/23/2023,5.5,4.8502
10/20/2023,5.5,4.9137
10/19/2023,5.5,4.9898
10/18/2023,5.5,4.9149
10/17/2023,5.5,4.8341
10/16/2023,5.5,4.706
10/13/2023,5.5,4.6124
10/12/2023,5.5,4.6969
10/11/2023,5.5,4.5582
10/10/2023,5.5,4.653
10/9/2023,5.5,4.8009
10/6/2023,5.5,4.8009
10/5/2023,5.5,4.7185
10/4/2023,5.5,4.7329
10/3/2023,5.5,4.7955
10/2/2023,5.5,4.6785
9/29/2023,5.5,4.5711
9/28/2023,5.5,4.5748
9/27/2023,5.5,4.6075
9/26/2023,5.5,4.5356
9/25/2023,5.5,4.5334
9/22/2023,5.5,4.4337
9/21/2023,5.5,4.4942
9/20/2023,5.5,4.407
9/19/2023,5.5,4.3586
9/18/2023,5.5,4.3026
9/15/2023,5.5,4.3324
9/14/2023,5.5,4.2863
9/13/2023,5.5,4.2485
9/12/2023,5.5,4.2801
9/11/2023,5.5,4.288
9/8/2023,5.5,4.2641
9/7/2023,5.5,4.2441
9/6/2023,5.5,4.2797
9/5/2023,5.5,4.2598
9/4/2023,5.5,4.1788
9/1/2023,5.5,4.1788
8/31/2023,5.5,4.1081
8/30/2023,5.5,4.1139
8/29/2023,5.5,4.1197
8/28/2023,5.5,4.202
8/25/2023,5.5,4.2354
8/24/2023,5.5,4.2372
8/23/2023,5.5,4.1918
8/22/2023,5.5,4.3241
8/21/2023,5.5,4.3379
8/18/2023,5.5,4.2546
8/17/2023,5.5,4.2741
8/16/2023,5.5,4.2504
8/15/2023,5.5,4.211
8/14/2023,5.5,4.1913
8/11/2023,5.5,4.1522
8/10/2023,5.5,4.1055
8/9/2023,5.5,4.0081
8/8/2023,5.5,4.022
8/7/2023,5.5,4.0885
8/4/2023,5.5,4.0338
8/3/2023,5.5,4.1751
8/2/2023,5.5,4.0775
8/1/2023,5.5,4.023
7/31/2023,5.5,3.9588
7/28/2023,5.5,3.9507
7/27/2023,5.5,3.9982
7/26/2023,5.5,3.8668
7/25/2023,5.25,3.8845
7/24/2023,5.25,3.8725
7/21/2023,5.25,3.8349
7/20/2023,5.25,3.8503
7/19/2023,5.25,3.7483
7/18/2023,5.25,3.7853
7/17/2023,5.25,3.8068
7/14/2023,5.25,3.8322
7/13/2023,5.25,3.7634
7/12/2023,5.25,3.8573
7/11/2023,5.25,3.97
7/10/2023,5.25,3.9938
7/7/2023,5.25,4.0616
7/6/2023,5.25,4.0291
7/5/2023,5.25,3.9315
7/4/2023,5.25,3.8545
7/3/2023,5.25,3.8545
6/30/2023,5.25,3.8367
6/29/2023,5.25,3.8383
6/28/2023,5.25,3.7078
6/27/2023,5.25,3.7639
6/26/2023,5.25,3.7212
6/23/2023,5.25,3.7347
6/22/2023,5.25,3.7946
6/21/2023,5.25,3.7189
6/20/2023,5.25,3.7207
6/19/2023,5.25,3.7613
6/16/2023,5.25,3.7613
6/15/2023,5.25,3.7165
6/14/2023,5.25,3.7862
6/13/2023,5.25,3.8133
6/12/2023,5.25,3.7356
6/9/2023,5.25,3.7394
6/8/2023,5.25,3.7179
6/7/2023,5.25,3.7952
6/6/2023,5.25,3.6602
6/5/2023,5.25,3.6831
6/2/2023,5.25,3.6907
6/1/2023,5.25,3.595
5/31/2023,5.25,3.6426
5/30/2023,5.25,3.6866
5/29/2023,5.25,3.7983
5/26/2023,5.25,3.7983
5/25/2023,5.25,3.8174
5/24/2023,5.25,3.7419
5/23/2023,5.25,3.6919
5/22/2023,5.25,3.7148
5/19/2023,5.25,3.6726
5/18/2023,5.25,3.6457
5/17/2023,5.25,3.5641
5/16/2023,5.25,3.5339
5/15/2023,5.25,3.5019
5/12/2023,5.25,3.4625
5/11/2023,5.25,3.3843
5/10/2023,5.25,3.4426
5/9/2023,5.25,3.5186
5/8/2023,5.25,3.5072
5/5/2023,5.25,3.437
5/4/2023,5.25,3.3787
5/3/2023,5.25,3.3356
5/2/2023,5,3.4239
5/1/2023,5,3.5681
4/28/2023,5,3.422
4/27/2023,5,3.5204
4/26/2023,5,3.4485
4/25/2023,5,3.3996
4/24/2023,5,3.4901
4/21/2023,5,3.5718
4/20/2023,5,3.5318
4/19/2023,5,3.5908
4/18/2023,5,3.5756
4/17/2023,5,3.6004
4/14/2023,5,3.5128
4/13/2023,5,3.4449
4/12/2023,5,3.3906
4/11/2023,5,3.4262
4/10/2023,5,3.4168
4/7/2023,5,3.3906
4/6/2023,5,3.305
4/5/2023,5,3.3108
4/4/2023,5,3.3387
4/3/2023,5,3.4114
3/31/2023,5,3.4676
3/30/2023,5,3.5488
3/29/2023,5,3.5639
3/28/2023,5,3.5696
3/27/2023,5,3.5299
3/24/2023,5,3.3762
3/23/2023,5,3.4266
3/22/2023,5,3.4341
3/21/2023,4.75,3.6094
3/20/2023,4.75,3.4847
3/17/2023,4.75,3.4286
3/16/2023,4.75,3.577
3/15/2023,4.75,3.4548
3/14/2023,4.75,3.6892
3/13/2023,4.75,3.5732
3/10/2023,4.75,3.6987
3/9/2023,4.75,3.9032
3/8/2023,4.75,3.9913
3/7/2023,4.75,3.9637
3/6/2023,4.75,3.9577
3/3/2023,4.75,3.9517
3/2/2023,4.75,4.0556
3/1/2023,4.75,3.9925
2/28/2023,4.75,3.92
2/27/2023,4.75,3.9141
2/24/2023,4.75,3.9432
2/23/2023,4.75,3.8768
2/22/2023,4.75,3.9156
2/21/2023,4.75,3.9525
2/20/2023,4.75,3.8148
2/17/2023,4.75,3.8148
2/16/2023,4.75,3.8608
2/15/2023,4.75,3.8049
2/14/2023,4.75,3.7435
2/13/2023,4.75,3.7016
2/10/2023,4.75,3.732
2/9/2023,4.75,3.6579
2/8/2023,4.75,3.6098
2/7/2023,4.75,3.6735
2/6/2023,4.75,3.6399
2/3/2023,4.75,3.5246
2/2/2023,4.75,3.3927
2/1/2023,4.75,3.4166
1/31/2023,4.5,3.5069
1/30/2023,4.5,3.5366
1/27/2023,4.5,3.5035
1/26/2023,4.5,3.4947
1/25/2023,4.5,3.4416
1/24/2023,4.5,3.4527
1/23/2023,4.5,3.5098
1/20/2023,4.5,3.4787
1/19/2023,4.5,3.3915
1/18/2023,4.5,3.3698
1/17/2023,4.5,3.5476
1/16/2023,4.5,3.5035
