Dates,SPX Index,CCMP Index,INDU Index,XAU Curncy,CL1 Comdty,XAG Curncy,LMCADY Comdty,NG1 Comdty,DXY Curncy,EURUSD Curncy,USDCNY Curncy
6/23/2025,5989.43,19609.42,42484.52,3382.77,69.77,36.2292,9908.49,3.691,98.533,1.1567,7.1802
6/20/2025,5967.84,19447.41,42206.82,3368.39,74.93,36.0105,9908.49,3.847,98.707,1.1523,7.1815
6/19/2025,5980.87,19546.27,42171.66,3370.9,75.14,36.382,9748.36,3.989,98.905,1.1495,7.1878
6/18/2025,5980.87,19546.27,42171.66,3369.38,75.14,36.7347,9761.46,3.989,98.905,1.148,7.1895
6/17/2025,5982.72,19521.09,42215.8,3388.11,74.84,37.1079,9791.77,3.851,98.82,1.148,7.1868
6/16/2025,6033.11,19701.21,42515.09,3385.23,71.77,36.3132,9798.59,3.748,97.998,1.1561,7.1802
6/13/2025,5976.97,19406.83,42197.79,3432.34,72.98,36.3029,9718.41,3.581,98.184,1.1549,7.1832
6/12/2025,6045.26,19662.48,42967.62,3385.92,68.04,36.3422,9787.51,3.492,97.921,1.1584,7.1727
6/11/2025,6022.24,19615.88,42865.77,3355.12,68.15,36.2547,9703.49,3.507,98.631,1.1487,7.1903
6/10/2025,6038.81,19714.99,42866.87,3323.69,64.98,36.535,9840.6,3.533,99.098,1.1425,7.1878
6/9/2025,6005.88,19591.24,42761.76,3326.19,65.29,36.7584,9888.78,3.635,98.939,1.1422,7.1794
6/6/2025,6000.36,19529.95,42762.87,3310.42,64.58,35.9777,9762.84,3.784,99.19,1.1397,7.1926
6/5/2025,5939.3,19298.45,42319.74,3352.65,63.37,35.651,9832.65,3.677,98.741,1.1445,7.1777
6/4/2025,5970.81,19460.49,42427.74,3372.72,62.85,34.5045,9669.98,3.716,98.787,1.1417,7.178
6/3/2025,5970.37,19398.96,42519.64,3353.43,63.41,34.5176,9686.31,3.722,99.227,1.1372,7.1883
6/2/2025,5935.94,19242.61,42305.48,3381.59,62.52,34.7615,9667.99,3.694,98.706,1.1441,7.1989
5/30/2025,5911.69,19113.77,42270.07,3289.25,60.79,32.9832,9548.08,3.447,99.329,1.1347,7.1989
5/29/2025,5912.17,19175.87,42215.73,3317.94,60.94,33.3192,9619.57,3.522,99.278,1.137,7.1859
5/28/2025,5888.55,19100.94,42098.7,3287.48,61.84,32.984,9609.97,3.204,99.875,1.1292,7.1959
5/27/2025,5921.54,19199.16,42343.65,3300.87,60.89,33.2645,9636.58,3.398,99.521,1.1328,7.1953
5/26/2025,5802.82,18737.21,41603.07,3343.84,61.53,33.4906,9641.14,3.334,98.934,1.1387,7.1864
5/23/2025,5802.82,18737.21,41603.07,3357.51,61.53,33.477,9641.14,3.334,99.112,1.1362,7.181
5/22/2025,5842.01,18925.73,41859.09,3294.52,61.2,33.0561,9516.38,3.253,99.96,1.1281,7.2056
5/21/2025,5844.61,18872.64,41860.44,3314.96,61.57,33.3893,9547.51,3.368,99.559,1.1331,7.2015
5/20/2025,5940.46,19142.71,42677.24,3290.13,62.56,33.0821,9522.66,3.427,100.118,1.1283,7.217
5/19/2025,5963.6,19215.46,42792.07,3229.56,62.69,32.361,9539.02,3.113,100.426,1.124,7.2138
5/16/2025,5958.38,19211.1,42654.74,3203.65,62.49,32.2948,9478.95,3.334,101.092,1.1163,7.2136
5/15/2025,5916.93,19112.32,42322.75,3240.1,61.62,32.6405,9616.74,3.362,100.879,1.1187,7.2074
5/14/2025,5892.58,19146.81,42051.06,3177.25,63.15,32.2268,9621.33,3.492,101.039,1.1175,7.2084
5/13/2025,5886.55,19010.08,42140.43,3250.31,63.67,32.928,9618.67,3.647,101.003,1.1185,7.2046
5/12/2025,5844.19,18708.34,42410.1,3236.39,61.95,32.6023,9544.37,3.646,101.788,1.1087,7.2053
5/9/2025,5659.91,17928.92,41249.38,3324.98,61.02,32.7242,9494.69,3.795,100.339,1.125,7.2382
5/8/2025,5663.94,17928.14,41368.45,3305.72,59.91,32.4631,9477.32,3.592,100.64,1.1228,7.2428
5/7/2025,5631.28,17738.16,41113.97,3364.5,58.07,32.4562,9441.15,3.621,99.614,1.1301,7.2275
5/6/2025,5606.91,17689.66,40829,3431.77,59.09,33.2228,9559.75,3.463,99.238,1.137,7.219
5/5/2025,5650.38,17844.24,41218.83,3334.12,57.13,32.4851,9385.73,3.55,99.831,1.1315,7.2714
5/2/2025,5686.67,17977.73,41317.43,3240.49,58.29,32.01,9385.73,3.63,100.03,1.1297,7.2714
5/1/2025,5604.14,17710.74,40752.96,3239.2,59.24,32.4128,9239.94,3.479,100.248,1.129,7.2714
4/30/2025,5569.06,17446.34,40669.36,3288.71,58.21,32.6164,9118.2,3.326,99.468,1.1328,7.2714
4/29/2025,5560.83,17461.32,40527.62,3317.41,60.42,32.9355,9430.24,3.386,99.237,1.1387,7.2714
4/28/2025,5528.75,17366.13,40227.59,3343.98,62.05,33.1631,9406.6,3.17,99.01,1.142,7.2874
4/25/2025,5525.21,17382.94,40113.5,3319.72,63.02,33.1102,9376.41,2.937,99.471,1.1365,7.2867
4/24/2025,5484.77,17166.04,40093.4,3349.43,62.79,33.5801,9398.93,2.93,99.377,1.139,7.2889
4/23/2025,5375.86,16708.05,39606.57,3288.34,62.27,33.5785,9363.38,3.022,99.844,1.1316,7.2871
4/22/2025,5287.76,16300.42,39186.98,3380.63,64.31,32.5097,9352.47,3.007,98.918,1.1421,7.3074
4/21/2025,5158.2,15870.9,38170.41,3423.98,63.08,32.696,9160.97,3.016,98.278,1.1515,7.2918
4/18/2025,5282.7,16286.45,39142.23,3326.85,64.68,32.5551,9160.97,3.245,99.23,1.1393,7.2997
4/17/2025,5282.7,16286.45,39142.23,3326.85,64.68,32.5551,9160.97,3.245,99.376,1.1365,7.2992
4/16/2025,5275.7,16307.16,39669.39,3343.12,62.47,32.7655,9171.28,3.247,99.38,1.1399,7.2997
4/15/2025,5396.63,16823.17,40368.96,3230.72,61.33,32.3199,9119.26,3.329,100.215,1.1282,7.3158
4/14/2025,5405.97,16831.48,40524.79,3210.93,61.53,32.3474,9156.99,3.325,99.64,1.1351,7.3095
