Dates,CPI YOY Index,GDP CQOQ Index,M2% YOY Index,USURTOT Index
5/31/2025,2.4,-0.2,4.4,4.2
4/30/2025,2.3,-0.2,4.4,4.2
3/31/2025,2.4,-0.2,3.9,4.2
2/28/2025,2.8,2.4,3.6,4.1
1/31/2025,3,2.4,3.6,4
12/31/2024,2.9,2.4,3.6,4.1
11/30/2024,2.7,3.1,3.5,4.2
10/31/2024,2.6,3.1,3.1,4.1
9/30/2024,2.4,3.1,2.7,4.1
8/31/2024,2.5,3,2.1,4.2
7/31/2024,2.9,3,1.6,4.2
6/30/2024,3,3,1.4,4.1
5/31/2024,3.3,1.6,0.9,4
4/30/2024,3.4,1.6,1,3.9
3/31/2024,3.5,1.6,0.1,3.9
2/29/2024,3.2,3.2,-1.5,3.9
1/31/2024,3.1,3.2,-2,3.7
12/31/2023,3.4,3.2,-2.4,3.8
11/30/2023,3.1,4.4,-3.1,3.7
10/31/2023,3.2,4.4,-3.4,3.9
9/30/2023,3.7,4.4,-3.7,3.8
8/31/2023,3.7,2.4,-4,3.7
7/31/2023,3.2,2.4,-4,3.5
6/30/2023,3,2.4,-4,3.6
5/31/2023,4,2.8,-4.1,3.6
4/30/2023,4.9,2.8,-4.7,3.4
3/31/2023,5,2.8,-3.9,3.5
2/28/2023,6,3.4,-2.3,3.6
1/31/2023,6.4,3.4,-1.8,3.5
12/31/2022,6.5,3.4,-1.2,3.5
11/30/2022,7.1,2.7,0.2,3.6
10/31/2022,7.7,2.7,1.3,3.6
9/30/2022,8.2,2.7,2.6,3.5
8/31/2022,8.3,0.3,3.8,3.6
7/31/2022,8.5,0.3,4.9,3.5
6/30/2022,9.1,0.3,5.7,3.6
5/31/2022,8.6,-1,6.2,3.6
4/30/2022,8.3,-1,7.9,3.7
3/31/2022,8.5,-1,9.6,3.7
2/28/2022,7.9,7.4,10.7,3.8
1/31/2022,7.5,7.4,11.5,4
12/31/2021,7,7.4,12.2,3.9
11/30/2021,6.8,3.5,12.3,4.2
10/31/2021,6.2,3.5,12.8,4.5
9/30/2021,5.4,3.5,12.8,4.7
8/31/2021,5.3,6.4,13.3,5.1
7/31/2021,5.4,6.4,12.7,5.4
6/30/2021,5.4,6.4,12.9,5.9
5/31/2021,5,5.6,14.4,5.8
4/30/2021,4.2,5.6,18.6,6.1
3/31/2021,2.6,5.6,23.9,6.1
2/28/2021,1.7,4.4,26.7,6.2
1/31/2021,1.4,4.4,25.6,6.4
12/31/2020,1.4,4.4,24.7,6.7
11/30/2020,1.2,35.2,24.2,6.7
10/31/2020,1.2,35.2,23.6,6.9
9/30/2020,1.4,35.2,23.7,7.8
8/31/2020,1.3,-28.1,23,8.4
7/31/2020,1,-28.1,23.2,10.2
6/30/2020,0.6,-28.1,22.8,11
5/31/2020,0.1,-5.5,21.8,13.2
4/30/2020,0.3,-5.5,16.8,14.8
3/31/2020,1.5,-5.5,10.1,4.4
2/29/2020,2.3,2.8,6.8,3.5
1/31/2020,2.5,2.8,6.7,3.6
12/31/2019,2.3,2.8,6.7,3.6
11/30/2019,2.1,4.8,7.1,3.6
10/31/2019,1.8,4.8,6.5,3.6
9/30/2019,1.7,4.8,5.6,3.5
8/31/2019,1.7,3.4,5.2,3.6
7/31/2019,1.8,3.4,5,3.7
6/30/2019,1.6,3.4,4.7,3.6
5/31/2019,1.8,2.5,4.3,3.6
4/30/2019,2,2.5,4,3.7
3/31/2019,1.9,2.5,3.9,3.8
2/28/2019,1.5,0.6,4,3.8
1/31/2019,1.6,0.6,4.1,4
12/31/2018,1.9,0.6,3.7,3.9
11/30/2018,2.2,2.5,3.2,3.8
10/31/2018,2.5,2.5,3.3,3.8
9/30/2018,2.3,2.5,3.7,3.7
8/31/2018,2.7,2.1,3.8,3.8
7/31/2018,2.9,2.1,3.9,3.8
6/30/2018,2.9,2.1,4.1,4
5/31/2018,2.8,3.3,3.8,3.8
4/30/2018,2.5,3.3,3.8,4
3/31/2018,2.4,3.3,4.1,4
2/28/2018,2.2,4.6,4.1,4.1
1/31/2018,2.1,4.6,4.4,4
12/31/2017,2.1,4.6,4.9,4.1
